time,speaker,title,link
09:35,Leonardo Sanna,AI Compliance: ISO standards and FBK checklist,https://drive.google.com/file/d/1eiIfgfyQQvJsOKLK8zyt3B9kCGeFDzNa/view
09:48,Stefano Tonetta,Runtime Verification of AI-Based Prediction Models,https://drive.google.com/file/d/18v1duu9lk33kCVLUjyKc-HEJ-aQvwS8f/view
10:01,Marco Bozzano,Integrative AI for formal system design,https://drive.google.com/file/d/13hTV8zL7OPTlFRg1AbLa16691blyBY6t/view
10:14,Alberto Griggio,The VAIPOSA ESA project for verifiable AI techniques for PNT,https://drive.google.com/file/d/1dypBBioB6KwdGvAtzSXswaowvf_MJjVk/view
10:27,Marco Pistore,Compliance in Urban Digital Twins: Ensuring Fairness and Robustness,https://drive.google.com/file/d/1c9hsFG5j8fiZIkDHuDXmHUJxBwckZqKj/view
10:40,Giulia Deppieri,Enabling AI Compliance through a Co-Design Framework,https://drive.google.com/file/d/1-XVKuHkSHK3KvMuOsRBvkFgSN2k32ZU2/view
10:53,Albana Celepija,Compliant development process: Enforce standardized implementation of trustworthy/responsible AI,https://drive.google.com/file/d/1nQFNylm_1WR3nvSH9b9nVv7ZJ5zqt7I8/view
11:00,,Coffee break,
11:27,Magdalena Solitro,An Approach for the Software Development Life Cycle of Trustworthy AI Systems and Their Regulatory Compliance,https://drive.google.com/file/d/1SU2XsfYDHqiGHK8OHPR0gYAYepiFEwNh/view
11:40,Lorenzo Vaquero,Model and Dataset Auditing for Trustworthy AI,https://drive.google.com/file/d/1R764sna_tVpug0lvyhJKx3XjpZFvRfXV/view
11:53,Davide Talon,Privacy preserving and unbiased learning,https://drive.google.com/file/d/14gLhddn8nm6SrP3bfcAyo1MDQ5YlsX0d/view
12:06,Riccardo Gallotti,On the conversational persuasiveness of GPT-4,https://drive.google.com/file/d/1Nei8QQotOV1-AaPt71Im1ihaSe2lGk4t/view
12:19,Camilla Casula,Hidden Fairness Issues in LLMs,https://drive.google.com/file/d/14jbKLjM3c-kJWfhf5XYvzNzILztNI3G6/view
12:32,"Olga Gorodetskaya, Jessica Gagete Miranda",Evaluating Education in the AI Age: Evidence Practices and Challenges,https://drive.google.com/file/d/1iZ9hOjRXOIIMIAHDfb8_hIooU9jcYzLO/view
12:45,"Elsbeth Beumer, Giulia Olivato",Perspectives of the Ethical and Legal Innovation Lab,https://drive.google.com/file/d/1nGqWgY5hH-OFLe8qTT6oSxGnm2wWkYEa/view
12:58,Elisa Leonardelli,Modeling Subjectivity and Annotator Disagreement for AI Compliance and Reliability,https://drive.google.com/file/d/1S-qnt34PXVIzgjM5QeRqrQcLWc1EnP5N/view
