id,title,subtitle,category,image,description,url,github,trl,unit,tags
ai_platform,AI Platform,"Modular open-source platform for building and managing Data & AI applications",platform,ai_platform.webp,"A modular open-source platform integrating DataOps, MLOps, DevOps and GitOps principles. It supports the entire lifecycle of AI and data applications — from exploration to deployment, monitoring, auditing and evolution. Enables reproducible, portable, compliant and scalable AI systems.","","",6-7,"DSLab","ai,platform,dataops,mlops,governance"
micromind,Micromind TinyML Toolkit,"Toolkit for hardware-aware TinyML models",toolkit,micromind.webp,"An open toolkit for developing TinyML neural networks optimised for embedded devices. Includes hardware-aware scaled architectures (PhiNets, XiNets), pre-trained models for image and audio tasks, and utilities for accuracy–latency optimisation on microcontrollers.","https://github.com/micromind-toolkit/micromind","https://github.com/micromind-toolkit/micromind",5,"E3DA","tinyml,edge-ai,toolkit,neural-networks"
xinet_pose,XiNet-Pose,"Compact pose-estimation model for edge devices",model,xinet_pose.webp,"A hardware-aware lightweight neural network that extracts human keypoints in real time from RGB images. Optimized to run on low-power microcontrollers and embedded AI accelerators.","","",5,"E3DA","tinyml,edge-ai,vision,pose-estimation"
tiny_style_transfer,Tiny Neural Style Transfer,"Real-time style transfer on edge devices",model,tiny_style_transfer.webp,"A minimal encoder–decoder model enabling real-time neural style transfer and visual anonymization directly on embedded devices, using hardware-aware scaling for latency and memory efficiency.","","",5,"E3DA","tinyml,edge-ai,vision,style-transfer,privacy"
phinet_gan,PhiNet-GAN Face-Swapping,"Lightweight GAN for face-swapping on edge hardware",model,phinet_gan.webp,"A compressed generative adversarial network performing face-swapping while meeting strict latency and memory constraints typical of edge devices.","","",5,"E3DA","tinyml,edge-ai,gan,face-swapping"
ximswap,XimSwap,"Ultra-light face-swapping model",model,ximswap.webp,"An extremely compact alternative to GAN-based face-swapping based on feature mapping and blending. Suitable for ultra-low-power MCUs.","","",4-5,"E3DA","tinyml,edge-ai,face-swapping,ultra-light"
audioanony,AudioAnony,"Edge-based audio anonymization",model,audioanony.webp,"Privacy-preserving audio anonymization system that replaces the speaker’s voice while preserving prosody. Designed to run near the microphone on constrained devices to reduce privacy risks.","","",6,"E3DA","audio,privacy,edge-ai,anonymization"
tinyclap,tinyCLAP,"Tiny audio event classifier",model,tinyclap.webp,"A compressed, hardware-optimized implementation of CLAP for sound event detection on microcontrollers, using quantization, pruning and architecture scaling.","","",4,"E3DA","audio,tinyml,edge-ai,sound-event-detection"
playngo,Play&Go Platform,"Gamified platform for sustainable mobility campaigns",platform,playngo.webp,"A gamified mobility engagement platform used by cities, companies and schools. Supports design and monitoring of mobility campaigns, with real-time analytics and game-based behavioural incentives.","https://playngo.it","",8-9,"MoDiS","mobility,gamification,behaviour-change,city"
kidsgogreen,Kids Go Green,"Educational mobility platform for schools",platform,kidsgogreen.webp,"A playful mobility-education platform that turns sustainable home-to-school travel into collective virtual journeys. Demonstrated impact includes up to 53% reduction in car use.","https://kidsgogreen.eu","",8-9,"MoDiS","mobility,education,schools,gamification"
civic_digital_twin,Civic Digital Twin,"Digital twin for socio-technical systems",platform,civic_digital_twin.webp,"A digital twin framework for modelling social, infrastructural and behavioural systems. Supports simulation of mobility, tourism, climate resilience and other socio-technical dynamics.","https://github.com/fbk-most/civic-digital-twins","https://github.com/fbk-most/civic-digital-twins",6,"MoST","digital-twin,socio-technical,simulation,policy"
sml_platform,Social Media Listening Platform,"Modular platform for online content monitoring",platform,sml_platform.webp,"A cloud-native platform for collecting, filtering and analysing multi-source online content. Includes data lakehouse, ingestion pipelines, user-network analytics, topic detection, and hate-speech monitoring.","http://covid19obs.fbk.eu/","",6-7,"DH / CHUB","media,ai,nlp,misinformation,monitoring"
agri_fields,Agricultural Fields Delineation,"AI tool for crop field characterization",tool,agri_fields.webp,"Processes multi-temporal remote sensing imagery to delineate agricultural fields, model crop cycles and extract phenological markers for agricultural monitoring.","","",5,"RSDE","remote-sensing,agriculture,earth-observation"
change_detection,Change Detection Tool,"Environmental and disaster-induced change detection",tool,change_detection.webp,"AI-powered tool for detecting abrupt or long-term changes from remote sensing data. Supports environmental monitoring, disaster assessment, land-use change, and deforestation analysis.","","",5,"RSDE","remote-sensing,change-detection,disaster,environment"

